"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"apadbnut  ","P",01/04/2017 11:31,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0080,<0>  ,"","","","",0.0040,<-4> [SBL] ,9.6,<0>  ,
"apadbnut  ","P",02/06/2017 11:20,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.024,<0>  ,"","","","",0.14,<0>  ,8.8,<0>  ,
"apadbnut  ","P",02/28/2017 13:15,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.016,<0>  ,"","","","",0.27,<0>  ,11.0,<0>  ,
"apadbnut  ","P",04/11/2017 9:12,0,1,1         ,1         ,"",0.0050,<0>  ,0.0050,<0>  ,"","","","",0.045,<0>  ,18.0,<0>  ,
"apadbnut  ","P",05/02/2017 10:29,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0030,<0>  ,"","","","",0.033,<0>  ,11.0,<0>  ,
"apadbnut  ","P",06/08/2017 12:20,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.022,<0>  ,"","","","",0.089,<0>  ,10.0,<0>  ,
"apadbnut  ","P",07/05/2017 9:50,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0030,<0>  ,"","","","",0.0040,<-4> [SBL] ,5.9,<0>  ,
"apadbnut  ","P",07/05/2017 9:52,0,1,1         ,2         ,"",0.0040,<-4> [SBL] ,0.0030,<0>  ,"","","","",0.0040,<-4> [SBL] ,7.2,<0>  ,
"apadbnut  ","P",07/05/2017 9:54,0,1,1         ,3         ,"",0.0040,<-4> [SBL] ,0.021,<0>  ,"","","","",0.0040,<-4> [SBL] ,7.0,<0>  ,
"apadbnut  ","P",08/08/2017 10:39,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0040,<0>  ,"","","","",0.0090,<0>  ,13.0,<0>  ,
"apadbnut  ","P",09/05/2017 11:33,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0030,<0>  ,"","","","",0.0040,<-4> [SBL] ,11.0,<0>  ,
"apadbnut  ","P",10/10/2017 10:10,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.01,<0>  ,"","","","",0.021,<0>  ,5.7,<0>  ,
"apadbnut  ","P",11/07/2017 13:52,0,1,1         ,1         ,"",0.0050,<0>  ,0.014,<0>  ,"","","","",0.09,<0>  ,5.0,<0>  ,
"apadbnut  ","P",11/07/2017 13:54,0,1,1         ,2         ,"",0.0040,<0>  ,0.015,<0>  ,"","","","",0.089,<0>  ,5.0,<0>  ,
"apadbnut  ","P",11/07/2017 13:56,0,1,1         ,3         ,"",0.0040,<0>  ,0.0090,<0>  ,"","","","",0.088,<0>  ,4.9,<0>  ,
"apadbnut  ","P",11/27/2017 13:46,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0050,<0>  ,"","","","",0.089,<0>  ,3.9,<0>  ,

