"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"apaegnut  ","S",01/07/2019 9:07,0,1,1         ,1         ,"",0.011,<0>  ,0.022,<0>  ,"","","","",0.45,<0>  ,1.9,<0>  ,
"apaegnut  ","S",02/06/2019 9:43,0,1,1         ,1         ,"",0.011,<0>  ,0.022,<0>  ,"","","","",0.54,<0>  ,2.4,<0>  ,
"apaegnut  ","S",03/25/2019 9:52,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.02,<0>  ,"","","","",0.36,<0>  ,12.0,<0>  ,
"apaegnut  ","S",04/02/2019 8:26,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.017,<0>  ,"","","","",0.44,<0>  ,12.0,<0>  ,
"apaegnut  ","S",05/07/2019 8:05,0,1,1         ,1         ,"",0.0050,<0>  ,0.0050,<0>  ,"","","","",0.21,<0>  ,13.0,<0>  ,
"apaegnut  ","S",06/04/2019 8:52,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0040,<0>  ,"","","","",0.12,<0>  ,12.0,<0>  ,
"apaegnut  ","S",07/09/2019 8:15,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0030,<0>  ,"","","","",0.02,<0>  ,16.0,<0>  ,
"apaegnut  ","S",08/07/2019 8:08,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0090,<0>  ,"","","","",0.086,<0>  ,13.0,<0>  ,
"apaegnut  ","S",09/17/2019 9:11,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.016,<0>  ,"","","","",0.098,<0>  ,8.1,<0>  ,
"apaegnut  ","S",10/02/2019 9:24,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0030,<0>  ,"","","","",0.011,<0>  ,12.0,<0>  ,
"apaegnut  ","S",11/05/2019 9:19,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0090,<0>  ,"","","","",0.32,<0>  ,6.9,<0>  ,
"apaegnut  ","S",12/03/2019 9:36,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0070,<0>  ,"","","","",0.27,<0>  ,14.0,<0>  ,

