"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"apanhnut  ","S",01/07/2019 9:57,0,1,1         ,1         ,"",0.0070,<0>  ,0.028,<0>  ,"","","","",0.42,<0>  ,2.8,<0>  ,
"apanhnut  ","S",02/06/2019 10:39,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.014,<0>  ,"","","","",0.41,<0>  ,5.8,<0>  ,
"apanhnut  ","S",03/25/2019 11:18,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.023,<0>  ,"","","","",0.035,<0>  ,5.6,<0>  ,
"apanhnut  ","S",04/02/2019 9:02,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.021,<0>  ,"","","","",0.12,<0>  ,5.4,<0>  ,
"apanhnut  ","S",05/07/2019 8:45,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0030,<0>  ,"","","","",0.11,<0>  ,7.6,<0>  ,
"apanhnut  ","S",06/04/2019 10:12,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0030,<0>  ,"","","","",0.0040,<0>  ,11.0,<0>  ,
"apanhnut  ","S",07/09/2019 9:00,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0050,<0>  ,"","","","",0.042,<0>  ,10.0,<0>  ,
"apanhnut  ","S",08/07/2019 8:54,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0090,<0>  ,"","","","",0.0040,<0>  ,12.0,<0>  ,
"apanhnut  ","S",09/17/2019 10:37,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0050,<0>  ,"","","","",0.0040,<-4> [SBL] ,7.6,<0>  ,
"apanhnut  ","S",10/02/2019 10:15,0,1,1         ,1         ,"","",<0>  ,"",<0>  ,"","","","","",<0>  ,"",<0>  ,
"apanhnut  ","S",11/05/2019 9:53,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0050,<0>  ,"","","","",0.0040,<-4> [SBL] ,3.1,<0>  ,
"apanhnut  ","S",12/03/2019 10:52,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0070,<0>  ,"","","","",0.094,<0>  ,10.0,<0>  ,

