"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"apapcnut  ","S",01/04/2017 10:43,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.011,<0>  ,"","","","",0.0040,<-4> [SBL] ,3.0,<0>  ,
"apapcnut  ","S",02/06/2017 10:22,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0080,<0>  ,"","","","",0.18,<0>  ,3.9,<0>  ,
"apapcnut  ","S",02/28/2017 12:02,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0090,<0>  ,"","","","",0.056,<0>  ,4.8,<0>  ,
"apapcnut  ","S",04/11/2017 8:21,0,1,1         ,1         ,"",0.0040,<0>  ,0.0030,<0>  ,"","","","",0.0040,<0>  ,3.7,<0>  ,
"apapcnut  ","S",05/02/2017 9:34,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0060,<0>  ,"","","","",0.012,<0>  ,9.8,<0>  ,
"apapcnut  ","S",06/08/2017 10:42,0,1,1         ,1         ,"",0.0040,<0>  ,0.0020,<-4> [SBL] ,"","","","",0.0040,<-4> [SBL] ,10.0,<0>  ,
"apapcnut  ","S",07/05/2017 9:07,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0040,<0>  ,"","","","",0.0040,<-4> [SBL] ,6.3,<0>  ,
"apapcnut  ","S",08/08/2017 9:39,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0030,<0>  ,"","","","",0.0080,<-4> [SBL] ,7.6,<0>  ,
"apapcnut  ","S",09/05/2017 10:11,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0030,<0>  ,"","","","",0.0040,<-4> [SBL] ,5.1,<0>  ,
"apapcnut  ","S",10/10/2017 9:21,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0040,<0>  ,"","","","",0.0040,<-4> [SBL] ,4.1,<0>  ,
"apapcnut  ","S",11/07/2017 12:11,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0040,<0>  ,"","","","",0.016,<0>  ,3.2,<0>  ,
"apapcnut  ","S",11/27/2017 12:20,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0040,<0>  ,"","","","",0.017,<0>  ,2.6,<0>  ,

