"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"aparvnut  ","S",01/04/2017 12:20,0,1,1         ,1         ,"",0.0090,<0>  ,0.025,<0>  ,"","","","",0.54,<0>  ,1.6,<0>  ,
"aparvnut  ","S",02/06/2017 12:15,0,1,1         ,1         ,"",0.01,<0>  ,0.018,<0>  ,"","","","",0.34,<0>  ,2.0,<0>  ,
"aparvnut  ","S",02/28/2017 14:23,0,1,1         ,1         ,"",0.01,<0>  ,0.02,<0>  ,"","","","",0.55,<0>  ,3.3,<0>  ,
"aparvnut  ","S",04/11/2017 9:59,0,1,1         ,1         ,"",0.011,<0>  ,0.017,<0>  ,"","","","",0.55,<0>  ,3.8,<0>  ,
"aparvnut  ","S",05/02/2017 11:15,0,1,1         ,1         ,"",0.0080,<0>  ,0.018,<0>  ,"","","","",0.54,<0>  ,3.3,<0>  ,
"aparvnut  ","S",06/08/2017 13:38,0,1,1         ,1         ,"",0.0090,<0>  ,0.02,<0>  ,"","","","",0.27,<0>  ,4.7,<0>  ,
"aparvnut  ","S",07/05/2017 10:31,0,1,1         ,1         ,"",0.01,<0>  ,0.015,<0>  ,"","","","",0.28,<0>  ,4.7,<0>  ,
"aparvnut  ","S",08/08/2017 11:35,0,1,1         ,1         ,"",0.0090,<0>  ,0.022,<0>  ,"","","","",0.34,<0>  ,3.4,<0>  ,
"aparvnut  ","S",09/05/2017 12:47,0,1,1         ,1         ,"",0.0060,<0>  ,0.0090,<0>  ,"","","","",0.3,<0>  ,4.4,<0>  ,
"aparvnut  ","S",10/10/2017 11:02,0,1,1         ,1         ,"",0.0060,<0>  ,0.022,<0>  ,"","","","",0.26,<0>  ,2.9,<0>  ,
"aparvnut  ","S",11/07/2017 8:56,0,1,1         ,1         ,"",0.0080,<0>  ,0.012,<0>  ,"","","","",0.42,<0>  ,3.1,<0>  ,
"aparvnut  ","S",11/27/2017 15:03,0,1,1         ,1         ,"",0.0080,<0>  ,0.031,<0>  ,"","","","",0.5,<0>  ,3.4,<0>  ,

