"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"apascnut  ","S",01/10/2018 11:16,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0040,<0>  ,"","","","",0.0040,<-4> [SBL] ,3.4,<0>  ,
"apascnut  ","S",02/06/2018 11:07,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0030,<0>  ,"","","","",0.0040,<-4> [SBL] ,1.1,<-4> [SBL] ,
"apascnut  ","S",03/08/2018 10:02,0,1,1         ,1         ,"",0.0070,<0>  ,0.0050,<0>  ,"","","","",0.0040,<-4> [SBL] ,1.7,<0>  ,
"apascnut  ","S",04/03/2018 10:37,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0090,<0>  ,"","","","",0.0040,<-4> [SBL] ,1.5,<0>  ,
"apascnut  ","S",05/08/2018 9:36,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0080,<0>  ,"","","","",0.0040,<-4> [SBL] ,3.2,<0>  ,
"apascnut  ","S",06/05/2018 9:56,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0030,<0>  ,"","","","",0.0040,<-4> [SBL] ,2.1,<0>  ,
"apascnut  ","S",07/02/2018 8:58,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.019,<0>  ,"","","","",0.0040,<-4> [SBL] ,4.0,<0>  ,
"apascnut  ","S",08/07/2018 9:13,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0030,<0>  ,"","","","",0.0040,<-4> [SBL] ,2.1,<0>  ,
"apascnut  ","S",09/10/2018 11:03,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.012,<0>  ,"","","","",0.0050,<0>  ,4.7,<0>  ,
"apascnut  ","S",10/23/2018 9:30,0,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"apascnut  ","S",11/06/2018 11:30,0,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"","","","","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"apascnut  ","S",11/28/2018 12:32,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0030,<0>  ,"","","","",0.0040,<-4> [SBL] ,3.3,<0>  ,

