"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"apawpnut  ","S",01/04/2017 11:10,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0070,<0>  ,"","","","",0.0040,<-4> [SBL] ,4.3,<0>  ,
"apawpnut  ","S",02/06/2017 10:52,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0090,<0>  ,"","","","",0.082,<0>  ,4.9,<0>  ,
"apawpnut  ","S",02/28/2017 12:39,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.01,<0>  ,"","","","",0.19,<0>  ,5.4,<0>  ,
"apawpnut  ","S",04/11/2017 8:48,0,1,1         ,1         ,"",0.0060,<0>  ,0.0050,<0>  ,"","","","",0.028,<0>  ,10.0,<0>  ,
"apawpnut  ","S",05/02/2017 10:01,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0030,<0>  ,"","","","",0.0040,<-4> [SBL] ,5.8,<0>  ,
"apawpnut  ","S",06/08/2017 11:39,0,1,1         ,1         ,"",0.0040,<0>  ,0.0020,<-4> [SBL] ,"","","","",0.033,<0>  ,9.4,<0>  ,
"apawpnut  ","S",07/05/2017 9:29,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.012,<0>  ,"","","","",0.0040,<-4> [SBL] ,3.6,<0>  ,
"apawpnut  ","S",08/08/2017 10:13,0,1,1         ,1         ,"",0.0050,<0>  ,0.0040,<0>  ,"","","","",0.019,<0>  ,9.5,<0>  ,
"apawpnut  ","S",09/05/2017 10:54,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.0030,<0>  ,"","","","",0.0040,<-4> [SBL] ,8.0,<0>  ,
"apawpnut  ","S",10/10/2017 9:48,0,1,1         ,1         ,"",0.0040,<-4> [SBL] ,0.019,<0>  ,"","","","",0.046,<0>  ,4.8,<0>  ,
"apawpnut  ","S",11/07/2017 13:26,0,1,1         ,1         ,"",0.0090,<0>  ,0.0050,<0>  ,"","","","",0.035,<0>  ,4.9,<0>  ,
"apawpnut  ","S",11/27/2017 13:05,0,1,1         ,1         ,"",0.0040,<0>  ,0.0040,<0>  ,"","","","",0.042,<0>  ,4.3,<0>  ,

