"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"sapcanut  ","P",01/29/2019 9:58,0,1,1         ,1         ,"",0.0372,<0>  ,0.0361,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0073,<0>  ,2.87,<0>  ,
"sapcanut  ","P",01/29/2019 10:01,0,1,1         ,2         ,"",0.0372,<0>  ,0.0359,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0066,<0>  ,2.79,<0>  ,
"sapcanut  ","P",02/26/2019 10:05,0,1,1         ,1         ,"",0.0184,<0>  ,0.0094,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0056,<0>  ,5.27,<0>  ,
"sapcanut  ","P",02/26/2019 10:10,0,1,1         ,2         ,"",0.0207,<0>  ,0.0131,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0074,<0>  ,4.88,<0>  ,
"sapcanut  ","P",03/19/2019 10:19,0,1,1         ,1         ,"",0.0167,<0>  ,0.0097,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0338,<0>  ,10.72,<0>  ,
"sapcanut  ","P",03/19/2019 10:24,0,1,1         ,2         ,"",0.0144,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<0>  ,0.0055,<-4> [SBL] ,11.09,<0>  ,
"sapcanut  ","P",04/16/2019 9:10,0,1,1         ,1         ,"",0.0259,<0>  ,0.0325,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0099,<0>  ,9.78,<0>  ,
"sapcanut  ","P",04/16/2019 9:15,0,1,1         ,2         ,"",0.0257,<0>  ,0.0247,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0112,<0>  ,11.13,<0>  ,
"sapcanut  ","P",05/29/2019 9:05,0,1,1         ,1         ,"",0.0498,<0>  ,0.0094,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0077,<0>  ,17.83,<0>  ,
"sapcanut  ","P",05/29/2019 9:10,0,1,1         ,2         ,"",0.0513,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<0>  ,0.0055,<-4> [SBL] ,18.69,<0>  ,
"sapcanut  ","P",06/26/2019 8:50,0,1,1         ,1         ,"",0.7818,<0>  ,0.0116,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0314,<0>  ,15.28,<0>  ,
"sapcanut  ","P",06/26/2019 8:54,0,1,1         ,2         ,"",0.0793,<0>  ,0.0126,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0077,<0>  ,17.52,<0>  ,
"sapcanut  ","P",07/24/2019 8:46,0,1,1         ,1         ,"",0.0777,<0>  ,0.0765,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0055,<-4> [SBL] ,16.49,<0>  ,
"sapcanut  ","P",07/24/2019 8:50,0,1,1         ,2         ,"",0.0773,<0>  ,0.0794,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0055,<-4> [SBL] ,14.24,<0>  ,
"sapcanut  ","P",08/27/2019 9:05,0,1,1         ,1         ,"",0.062,<0>  ,0.0401,<0>  ,0.0038,<0>  ,"",<0>  ,0.0126,<0>  ,7.79,<0>  ,
"sapcanut  ","P",08/27/2019 9:10,0,1,1         ,2         ,"",0.0663,<0>  ,0.038,<0>  ,0.0035,<0>  ,"",<0>  ,0.0121,<0>  ,9.53,<0>  ,
"sapcanut  ","P",09/23/2019 8:55,0,1,1         ,1         ,"",0.0634,<0>  ,0.0409,<0>  ,0.0027,<0>  ,"",<0>  ,0.0163,<0>  ,9.04,<0>  ,
"sapcanut  ","P",09/23/2019 9:01,0,1,1         ,2         ,"",0.0643,<0>  ,0.037,<0>  ,0.0027,<0>  ,"",<0>  ,0.0166,<0>  ,8.19,<0>  ,
"sapcanut  ","P",10/22/2019 9:01,0,1,1         ,1         ,"",0.0668,<0>  ,0.1249,<0>  ,0.0112,<0>  ,"",<0>  ,0.0344,<0>  ,5.25,<0>  ,
"sapcanut  ","P",10/22/2019 9:05,0,1,1         ,2         ,"",0.0652,<0>  ,0.1262,<0>  ,0.0114,<0>  ,"",<0>  ,0.0329,<0>  ,7.51,<0>  ,
"sapcanut  ","P",11/19/2019 9:50,0,1,1         ,1         ,"",0.0257,<0>  ,0.04,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0057,<0>  ,5.05,<0>  ,
"sapcanut  ","P",11/19/2019 9:54,0,1,1         ,2         ,"",0.0248,<0>  ,0.0361,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0066,<0>  ,6.03,<0>  ,
"sapcanut  ","P",12/19/2019 10:05,0,1,1         ,1         ,"",0.0321,<0>  ,0.0486,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0163,<0>  ,10.25,<0>  ,
"sapcanut  ","P",12/19/2019 10:09,0,1,1         ,2         ,"",0.0314,<0>  ,0.0486,<0>  ,0.0016,<-4> [SBL] ,"",<0>  ,0.0161,<0>  ,10.38,<0>  ,

