"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"sapdcnut  ","P",01/11/2018 9:53,0,1,1         ,2         ,"",0.2732,<0>  ,0.3091,<0>  ,0.0058,<0>  ,0.0312,<0>  ,0.037,<0>  ,8.91,<0>  ,
"sapdcnut  ","P",01/11/2018 9:56,0,1,1         ,1         ,"",0.274,<0>  ,0.3142,<0>  ,0.0056,<0>  ,0.0339,<0>  ,0.0395,<0>  ,10.05,<0>  ,
"sapdcnut  ","P",02/22/2018 10:01,0,1,1         ,1         ,"",0.2214,<0>  ,0.2525,<0>  ,0.0075,<0>  ,0.0308,<0>  ,0.0383,<0>  ,3.13,<0>  ,
"sapdcnut  ","P",02/22/2018 10:03,0,1,1         ,2         ,"",0.2192,<0>  ,0.2516,<0>  ,0.0074,<0>  ,0.0314,<0>  ,0.0388,<0>  ,3.99,<0>  ,
"sapdcnut  ","P",03/28/2018 10:42,0,1,1         ,1         ,"",0.0417,<0>  ,0.0325,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.0088,<0>  ,3.26,<0>  ,
"sapdcnut  ","P",03/28/2018 10:44,0,1,1         ,2         ,"",0.0458,<0>  ,0.0317,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.0071,<0>  ,3.1,<0>  ,
"sapdcnut  ","P",04/26/2018 9:50,0,1,1         ,1         ,"",0.0631,<0>  ,0.0831,<0>  ,0.0018,<0>  ,0.0246,<0>  ,0.0264,<0>  ,2.89,<0>  ,
"sapdcnut  ","P",04/26/2018 9:55,0,1,1         ,2         ,"",0.0629,<0>  ,0.0811,<0>  ,0.0050,<-4> [SBL] ,"",<-4> [SCB] ,0.0208,<0>  ,3.61,<0>  ,
"sapdcnut  ","P",05/23/2018 9:19,0,1,1         ,1         ,"",0.1996,<0>  ,0.2808,<0>  ,0.0056,<0>  ,0.0157,<0>  ,0.0213,<0>  ,2.46,<0>  ,
"sapdcnut  ","P",05/23/2018 9:22,0,1,1         ,2         ,"",0.2108,<0>  ,0.2894,<0>  ,0.0059,<0>  ,0.0178,<0>  ,0.0237,<0>  ,2.31,<0>  ,
"sapdcnut  ","P",06/20/2018 9:30,0,1,1         ,1         ,"",0.372,<0>  ,0.4961,<0>  ,0.0132,<0>  ,0.0208,<0>  ,0.034,<0>  ,4.16,<0>  ,
"sapdcnut  ","P",06/20/2018 9:35,0,1,1         ,2         ,"",0.3782,<0>  ,0.4999,<0>  ,0.0131,<0>  ,0.0221,<0>  ,0.0352,<0>  ,4.32,<0>  ,
"sapdcnut  ","P",07/24/2018 9:50,0,1,1         ,1         ,"",0.2276,<0>  ,0.2278,<0>  ,0.0090,<0>  ,0.0816,<0>  ,0.0906,<0>  ,4.81,<0>  ,
"sapdcnut  ","P",07/24/2018 9:55,0,1,1         ,2         ,"",0.2301,<0>  ,0.2155,<0>  ,0.0090,<0>  ,0.0324,<0>  ,0.0414,<0>  ,6.06,<0>  ,
"sapdcnut  ","P",09/19/2018 9:55,0,1,1         ,1         ,"",0.4136,<0>  ,0.4798,<0>  ,0.0117,<0>  ,0.0171,<0>  ,0.0288,<0>  ,10.32,<0>  ,
"sapdcnut  ","P",09/19/2018 10:00,0,1,1         ,2         ,"",0.4296,<0>  ,0.4819,<0>  ,0.0112,<0>  ,0.0207,<0>  ,0.0319,<0>  ,9.52,<0>  ,
"sapdcnut  ","P",10/04/2018 10:10,0,1,1         ,1         ,"",0.3652,<0>  ,0.2714,<0>  ,0.0091,<0>  ,0.0149,<0>  ,0.024,<0>  ,5.9,<0>  ,
"sapdcnut  ","P",10/04/2018 10:12,0,1,1         ,2         ,"",0.3805,<0>  ,0.2736,<0>  ,0.0094,<0>  ,0.0148,<0>  ,0.0242,<0>  ,4.71,<0>  ,
"sapdcnut  ","P",11/20/2018 10:28,0,1,1         ,1         ,"",0.0914,<0>  ,0.0487,<0>  ,0.0025,<0>  ,0.0219,<0>  ,0.0244,<0>  ,2.44,<0>  ,
"sapdcnut  ","P",11/20/2018 10:34,0,1,1         ,2         ,"",0.0944,<0>  ,0.0485,<0>  ,0.0024,<0>  ,0.0158,<0>  ,0.0182,<0>  ,2.33,<0>  ,
"sapdcnut  ","P",12/19/2018 9:48,0,1,1         ,1         ,"",0.4615,<0>  ,0.4064,<0>  ,0.0129,<0>  ,0.0451,<0>  ,0.058,<0>  ,1.72,<0>  ,
"sapdcnut  ","P",12/19/2018 9:52,0,1,1         ,2         ,"",0.473,<0>  ,0.4081,<0>  ,0.0127,<0>  ,0.0474,<0>  ,0.0601,<0>  ,1.8,<0>  ,

